Designator,Mid X,Mid Y,Rotation,Layer
D1,47.1,-31.1,270.0,bottom
D10,218.55,-31.1,270.0,bottom
D11,237.6,-31.1,270.0,bottom
D12,256.65,-31.1,270.0,bottom
D13,275.7,-31.1,270.0,bottom
D14,282.99,-37.28,270.0,bottom
D15,51.8625,-50.15,270.0,bottom
D16,75.675,-50.15,270.0,bottom
D17,94.725,-50.15,270.0,bottom
D18,113.775,-50.15,270.0,bottom
D19,132.825,-50.15,270.0,bottom
D2,66.15,-31.1,270.0,bottom
D20,151.875,-50.15,270.0,bottom
D21,170.925,-50.15,270.0,bottom
D22,189.975,-50.15,270.0,bottom
D23,209.025,-50.15,270.0,bottom
D24,228.075,-50.15,270.0,bottom
D25,247.125,-50.15,270.0,bottom
D26,266.175,-50.15,270.0,bottom
D27,284.8,-51.71,270.0,bottom
D28,291.31,-51.68,270.0,bottom
D29,54.24375,-69.2,270.0,bottom
D3,85.2,-31.1,270.0,bottom
D30,80.4375,-69.2,270.0,bottom
D31,99.4875,-69.2,270.0,bottom
D32,118.5375,-69.2,270.0,bottom
D33,137.5875,-69.2,270.0,bottom
D34,156.6375,-69.2,270.0,bottom
D35,175.6875,-69.2,270.0,bottom
D36,194.7375,-69.2,270.0,bottom
D37,213.7875,-69.2,270.0,bottom
D38,232.8375,-69.2,270.0,bottom
D39,251.8875,-69.2,270.0,bottom
D4,104.25,-31.1,270.0,bottom
D40,270.9375,-69.2,270.0,bottom
D41,281.0,-75.54,270.0,bottom
D42,69.15,-89.69,270.0,bottom
D43,89.9625,-88.25,270.0,bottom
D44,109.0125,-88.25,270.0,bottom
D45,128.0625,-88.25,270.0,bottom
D46,147.1125,-88.25,270.0,bottom
D47,166.1625,-88.25,270.0,bottom
D48,185.2125,-88.25,270.0,bottom
D49,204.2625,-88.25,270.0,bottom
D5,123.3,-31.1,270.0,bottom
D50,223.3125,-88.25,270.0,bottom
D51,242.3625,-88.25,270.0,bottom
D52,261.4125,-88.25,270.0,bottom
D53,271.83,-93.25,270.0,bottom
D54,49.48125,-107.3,270.0,bottom
D55,73.29375,-107.3,270.0,bottom
D56,97.10625,-107.3,270.0,bottom
D57,168.46,-110.24,270.0,bottom
D58,239.98125,-107.3,270.0,bottom
D59,263.79375,-107.3,270.0,bottom
D6,142.35,-31.1,270.0,bottom
D60,287.60625,-107.3,270.0,bottom
D61,311.41875,-107.3,270.0,bottom
D7,161.4,-31.1,270.0,bottom
D8,180.45,-31.1,270.0,bottom
D9,199.5,-31.1,270.0,bottom
SW1,38.1,-35.935,0.0,top
SW10,209.55,-35.935,0.0,top
SW11,228.6,-35.935,0.0,top
SW12,247.65,-35.935,0.0,top
SW13,266.7,-35.935,0.0,top
SW14,295.29,-38.9775,0.0,top
SW15,42.8625,-54.985,0.0,top
SW16,66.675,-54.985,0.0,top
SW17,85.725,-54.985,0.0,top
SW18,104.775,-54.985,0.0,top
SW19,123.825,-54.985,0.0,top
SW2,57.15,-35.935,0.0,top
SW20,142.875,-54.985,0.0,top
SW21,161.925,-54.985,0.0,top
SW22,180.975,-54.985,0.0,top
SW23,200.025,-54.985,0.0,top
SW24,219.075,-54.985,0.0,top
SW25,238.125,-54.985,0.0,top
SW26,257.175,-54.985,0.0,top
SW27,276.225,-54.985,0.0,top
SW28,300.08,-55.015,0.0,top
SW29,45.24375,-74.035,0.0,top
SW3,76.2,-35.935,0.0,top
SW30,71.4375,-74.035,0.0,top
SW31,90.4875,-74.035,0.0,top
SW32,109.5375,-74.035,0.0,top
SW33,128.5875,-74.035,0.0,top
SW34,147.6375,-74.035,0.0,top
SW35,166.6875,-74.035,0.0,top
SW36,185.7375,-74.035,0.0,top
SW37,204.7875,-74.035,0.0,top
SW38,223.8375,-74.035,0.0,top
SW39,242.8875,-74.035,0.0,top
SW4,95.25,-35.935,0.0,top
SW40,261.9375,-74.035,0.0,top
SW41,292.90875,-77.0775,0.0,top
SW42,49.99,-96.1075,0.0,top
SW43,80.9625,-93.085,0.0,top
SW44,100.0125,-93.085,0.0,top
SW45,119.0625,-93.085,0.0,top
SW46,138.1125,-93.085,0.0,top
SW47,157.1625,-93.085,0.0,top
SW48,176.2125,-93.085,0.0,top
SW49,195.2625,-93.085,0.0,top
SW5,114.3,-35.935,0.0,top
SW50,214.3125,-93.085,0.0,top
SW51,233.3625,-93.085,0.0,top
SW52,252.4125,-93.085,0.0,top
SW53,288.14625,-96.1275,0.0,top
SW54,40.48125,-112.135,0.0,top
SW55,64.29375,-112.135,0.0,top
SW56,88.10625,-112.135,0.0,top
SW57,159.56,-115.1775,0.0,top
SW58,230.98125,-112.135,0.0,top
SW59,254.79375,-112.135,0.0,top
SW6,133.35,-35.935,0.0,top
SW60,278.60625,-112.135,0.0,top
SW61,302.41875,-112.135,0.0,top
SW7,152.4,-35.935,0.0,top
SW8,171.45,-35.935,0.0,top
SW9,190.5,-35.935,0.0,top
U1,287.445,-10.83,270.0,top
